treatment,leaf_number,image_number,surface,stomata_number,x,y,angle,length
COL-0,4,ab-3,abaxial,19,196.75,310.75,88.831,24.505
COL-0,4,ab-3,abaxial,24,364.5,277.5,0,24
COL-0,4,ab-3,abaxial,25,349.5,254.75,-71.966,22.611
COL-0,4,ab-3,abaxial,26,448.25,246.25,36.634,24.3
COL-0,4,ab-3,abaxial,13,149.5,215.25,11.944,26.575
COL-0,4,ab-3,abaxial,10,268,204.5,9.462,24.331
COL-0,4,ab-3,abaxial,14,20.25,192,2.246,25.52
COL-0,4,ab-3,abaxial,12,169.25,186.25,86.496,24.546
COL-0,4,ab-3,abaxial,9,424,179.25,56.31,23.436
COL-0,4,ab-3,abaxial,11,235.25,177.75,46.591,25.466
COL-0,4,ab-3,abaxial,8,485.75,133.5,-42.274,22.299
COL-0,4,ab-3,abaxial,7,482.75,103.25,73.179,22.461
COL-0,4,ab-3,abaxial,4,256.25,82.75,88.831,24.505
COL-0,4,ab-3,abaxial,5,408,75,-75.379,23.77
COL-0,4,ab-3,abaxial,6,425.75,40.75,-67.479,22.192
COL-0,4,ab-3,abaxial,1,35.75,25.75,51.52,24.91
COL-0,4,ab-3,abaxial,2,220.25,8.25,-135,2.121
COL-0,4,ab-3,abaxial,3,295.75,0.5,63.435,1.118
COL-0,2,ab-4,abaxial,14,365,490.25,-62.049,27.735
COL-0,2,ab-4,abaxial,11,217.25,460.75,-69.305,24.052
COL-0,2,ab-4,abaxial,10,231.25,427.75,-75.141,25.348
COL-0,2,ab-4,abaxial,9,1.25,404.25,-45,0.707
COL-0,2,ab-4,abaxial,16,484.75,396.5,-37.117,23.2
COL-0,2,ab-4,abaxial,15,425.75,385.25,-73.887,23.42
COL-0,2,ab-4,abaxial,8,104,376,-73.072,24.042
COL-0,2,ab-4,abaxial,12,267.25,330.75,-64.026,21.691
COL-0,2,ab-4,abaxial,7,226.75,314,84.289,25.125
COL-0,2,ab-4,abaxial,13,318,313,-59.421,25.554
COL-0,2,ab-4,abaxial,5,57,296.75,15.154,24.865
COL-0,2,ab-4,abaxial,17,493,279.25,-52.431,24.602
COL-0,2,ab-4,abaxial,6,235,257.75,-40.972,25.164
COL-0,2,ab-4,abaxial,19,457.25,240.75,-49.764,25.544
COL-0,2,ab-4,abaxial,20,368.25,239.75,-48.27,24.789
COL-0,2,ab-4,abaxial,4,33,232,-26.565,22.361
COL-0,2,ab-4,abaxial,3,54.75,205.5,-8.326,20.718
COL-0,2,ab-4,abaxial,18,499,175,-59.421,25.554
COL-0,2,ab-4,abaxial,22,316.25,168.75,-21.194,26.277
COL-0,2,ab-4,abaxial,21,367.5,151.25,66.038,24.622
COL-0,2,ab-4,abaxial,26,246.25,95.25,-39.958,24.135
COL-0,2,ab-4,abaxial,2,207.75,89.25,-58.134,21.783
COL-0,2,ab-4,abaxial,23,480,79,41.186,21.26
COL-0,2,ab-4,abaxial,24,317,46,-70.821,24.352
COL-0,2,ab-4,abaxial,25,301,0.5,0,1
COL-0,2,ab-4,abaxial,1,91,0,0,1
COL-0,3,ab-4,abaxial,21,303.5,511,0,1
COL-0,3,ab-4,abaxial,20,338.25,469.5,63.435,19.007
COL-0,3,ab-4,abaxial,22,0.75,455.25,45,0.707
COL-0,3,ab-4,abaxial,19,367.25,444.75,35.538,21.506
COL-0,3,ab-4,abaxial,16,134.75,409,-88.755,23.005
COL-0,3,ab-4,abaxial,15,217.75,393,-34.439,21.219
COL-0,3,ab-4,abaxial,18,435.5,380,21.371,24.698
COL-0,3,ab-4,abaxial,14,192.5,365.25,-70.427,23.88
COL-0,3,ab-4,abaxial,17,334.75,357.25,-66.448,21.272
COL-0,3,ab-4,abaxial,13,109.25,330.5,-78.44,22.456
COL-0,3,ab-4,abaxial,12,85.75,321.75,-33.232,17.335
COL-0,3,ab-4,abaxial,11,297.5,266,-55.008,24.413
COL-0,3,ab-4,abaxial,9,145.25,238.5,37.569,24.602
COL-0,3,ab-4,abaxial,10,210.25,235.25,-52.352,22.102
COL-0,3,ab-4,abaxial,8,491.25,226,58.815,22.209
COL-0,3,ab-4,abaxial,7,465.75,207.75,64.026,21.691
COL-0,3,ab-4,abaxial,6,296.5,202.75,79.461,21.869
COL-0,3,ab-4,abaxial,4,274.5,104.75,-65.225,21.477
COL-0,3,ab-4,abaxial,2,138.75,96,75.426,25.831
COL-0,3,ab-4,abaxial,5,303.25,92,-22.989,17.923
COL-0,3,ab-4,abaxial,3,225.5,88.5,51.34,25.612
COL-0,3,ab-4,abaxial,1,23,56.25,60.832,24.622
COL-0,3,ab-4,abaxial,23,449.5,1.5,45,1.414
COL-0,4,ab-4,abaxial,22,357.75,489.5,8.915,25.812
COL-0,4,ab-4,abaxial,23,403,482.75,71.147,21.662
COL-0,4,ab-4,abaxial,21,183,472.25,15.376,20.742
COL-0,4,ab-4,abaxial,18,27,425.75,-76.239,25.224
COL-0,4,ab-4,abaxial,17,133,411,-45,25.456
COL-0,4,ab-4,abaxial,19,245.5,397.5,-46.736,23.345
COL-0,4,ab-4,abaxial,20,395.5,380.5,-65.556,24.166
COL-0,4,ab-4,abaxial,14,199.75,319,88.807,24.005
COL-0,4,ab-4,abaxial,16,92.25,317.25,62.879,23.033
COL-0,4,ab-4,abaxial,15,158,312.75,-52.883,23.2
COL-0,4,ab-4,abaxial,12,354.25,279,-59.237,24.439
COL-0,4,ab-4,abaxial,13,267,276,5.44,21.095
COL-0,4,ab-4,abaxial,5,36.25,237.75,-73.887,23.42
COL-0,4,ab-4,abaxial,7,263.75,236.25,-59.036,20.408
COL-0,4,ab-4,abaxial,6,208.75,228.75,-26.075,26.163
COL-0,4,ab-4,abaxial,11,510.75,210.75,108.435,1.581
COL-0,4,ab-4,abaxial,4,61.5,210.75,29.604,25.303
COL-0,4,ab-4,abaxial,10,430.25,174.5,-69.717,24.52
COL-0,4,ab-4,abaxial,9,459.75,92.5,47.643,23.005
COL-0,4,ab-4,abaxial,1,63,76.5,59.036,23.324
COL-0,4,ab-4,abaxial,8,447.75,65.25,28.496,19.912
COL-0,4,ab-4,abaxial,2,114,37.25,18.825,23.243
COL-0,4,ab-4,abaxial,3,138,11,-51.34,25.612
COL-0,2,ad-1,adaxial,23,60.5,509,-63.435,2.236
COL-0,2,ad-1,adaxial,19,469,493.5,-85.03,23.087
COL-0,2,ad-1,adaxial,22,251.5,481,-65.376,26.401
COL-0,2,ad-1,adaxial,20,400.5,479.5,45,24.042
COL-0,2,ad-1,adaxial,18,404.5,360,87.797,26.019
COL-0,2,ad-1,adaxial,21,510.5,343.5,-45,1.414
COL-0,2,ad-1,adaxial,17,346,343,81.254,26.306
COL-0,2,ad-1,adaxial,11,132,328.5,80.134,23.345
COL-0,2,ad-1,adaxial,12,289,324,29.055,20.591
COL-0,2,ad-1,adaxial,10,3,312,85.236,24.083
COL-0,2,ad-1,adaxial,9,248.5,299.5,31.759,24.698
COL-0,2,ad-1,adaxial,8,274.5,263.5,82.569,23.195
COL-0,2,ad-1,adaxial,7,245.5,205.5,48.576,22.672
COL-0,2,ad-1,adaxial,3,55,197,0,18
COL-0,2,ad-1,adaxial,2,22,184.5,-46.736,23.345
COL-0,2,ad-1,adaxial,6,259.5,161.5,-81.87,21.213
COL-0,2,ad-1,adaxial,16,500,151,-16.699,20.881
COL-0,2,ad-1,adaxial,1,64,125,30.964,23.324
COL-0,2,ad-1,adaxial,13,360,113.5,-80.134,23.345
COL-0,2,ad-1,adaxial,15,491.5,91.5,-38.29,24.207
COL-0,2,ad-1,adaxial,5,193.5,64.5,51.71,24.207
COL-0,2,ad-1,adaxial,4,160,46,26.565,22.361
COL-0,2,ad-1,adaxial,14,393.5,42.5,-60.524,26.42
COL-0,3,ad-1,adaxial,7,40.5,502.75,-56.31,19.831
COL-0,3,ad-1,adaxial,8,154.5,479.5,-58.671,26.926
COL-0,3,ad-1,adaxial,10,333.75,447.25,-33.311,20.94
COL-0,3,ad-1,adaxial,9,296.5,442.75,-40.462,22.344
COL-0,3,ad-1,adaxial,12,465.75,373,-17.879,16.286
COL-0,3,ad-1,adaxial,11,383.75,349.25,-32.661,23.162
COL-0,3,ad-1,adaxial,5,68,323.75,84.144,19.602
COL-0,3,ad-1,adaxial,6,174.75,318,-34.439,21.219
COL-0,3,ad-1,adaxial,4,16.25,303.25,78.179,21.966
COL-0,3,ad-1,adaxial,14,342.75,276.75,-69.905,21.829
COL-0,3,ad-1,adaxial,13,494.5,260.75,24.102,20.815
COL-0,3,ad-1,adaxial,3,213.75,234.75,-75.651,22.192
COL-0,3,ad-1,adaxial,2,109,213.25,-18.778,26.405
COL-0,3,ad-1,adaxial,15,433.75,196,73.856,19.78
COL-0,3,ad-1,adaxial,16,308.25,131.25,-35.272,25.11
COL-0,3,ad-1,adaxial,17,488.75,105.25,77.005,20.012
COL-0,3,ad-1,adaxial,1,147.75,72.25,-79.824,19.812
COL-0,3,ad-1,adaxial,18,434.5,13.25,10.437,19.32
COL-0,3,ad-1,adaxial,19,258.25,0.5,0,0.5
COL-0,4,ad-1,adaxial,26,454.5,453.75,32.005,23.585
COL-0,4,ad-1,adaxial,25,82.25,417.25,35.272,25.11
COL-0,4,ad-1,adaxial,24,490.75,376,13.241,26.196
COL-0,4,ad-1,adaxial,20,135.5,356.75,15.376,20.742
COL-0,4,ad-1,adaxial,23,395.25,343.25,68.429,23.119
COL-0,4,ad-1,adaxial,21,36.5,343.25,16.46,22.94
COL-0,4,ad-1,adaxial,22,358.25,342.25,-45,20.506
COL-0,4,ad-1,adaxial,19,208.75,335.25,58.325,27.613
COL-0,4,ad-1,adaxial,18,150,331.5,-7.125,24.187
COL-0,4,ad-1,adaxial,16,130.25,258,83.517,22.142
COL-0,4,ad-1,adaxial,17,310.5,235.25,76.759,26.196
COL-0,4,ad-1,adaxial,10,495.5,222,-4.236,27.074
COL-0,4,ad-1,adaxial,13,165.5,217.25,-18.06,24.192
COL-0,4,ad-1,adaxial,14,111.25,214.5,-27.15,21.915
COL-0,4,ad-1,adaxial,12,275.25,190.5,-35.096,22.611
COL-0,4,ad-1,adaxial,9,462.25,189,-73.856,19.78
COL-0,4,ad-1,adaxial,11,337.5,188.5,68.199,21.541
COL-0,4,ad-1,adaxial,15,2.5,183.5,0,1
COL-0,4,ad-1,adaxial,3,162.25,141.75,69.905,21.829
COL-0,4,ad-1,adaxial,8,506.75,100.25,-61.26,17.678
COL-0,4,ad-1,adaxial,2,102.75,82,49.028,25.164
COL-0,4,ad-1,adaxial,4,265.5,56.75,-9.039,22.277
COL-0,4,ad-1,adaxial,7,422.5,56,65.556,24.166
COL-0,4,ad-1,adaxial,1,138.5,48.5,8.427,27.295
COL-0,4,ad-1,adaxial,6,312.5,1.5,0,1
COL-0,4,ad-1,adaxial,5,249.5,0.25,1.364,21.006
COL-0,2,ad-2,adaxial,13,298,468.5,38.29,24.207
COL-0,2,ad-2,adaxial,15,24.25,424,23.962,24.622
COL-0,2,ad-2,adaxial,11,458.25,418.5,53.673,21.101
COL-0,2,ad-2,adaxial,16,105.75,396.75,-45,24.749
COL-0,2,ad-2,adaxial,17,221,385,70.821,24.352
COL-0,2,ad-2,adaxial,12,271.25,349,47.49,24.418
COL-0,2,ad-2,adaxial,14,40.25,328.75,48.468,23.377
COL-0,2,ad-2,adaxial,10,468.75,317.25,43.091,21.225
COL-0,2,ad-2,adaxial,5,5.75,237.5,0,1.5
COL-0,2,ad-2,adaxial,4,167.25,221,-26.003,22.809
COL-0,2,ad-2,adaxial,8,389.75,168.75,28.142,24.382
COL-0,2,ad-2,adaxial,1,49.75,148.75,67.109,24.423
COL-0,2,ad-2,adaxial,6,264.25,115.75,-6.633,21.645
COL-0,2,ad-2,adaxial,7,375.25,97.25,-69.905,21.829
COL-0,2,ad-2,adaxial,2,120.5,68,59.036,23.324
COL-0,2,ad-2,adaxial,3,196.5,43.5,-73.74,25
COL-0,2,ad-2,adaxial,9,454.5,26.75,45.83,24.398
COL-0,3,ad-2,adaxial,15,96.5,510.5,0,1
COL-0,3,ad-2,adaxial,14,192.75,454.75,65.136,22.594
COL-0,3,ad-2,adaxial,13,104.75,418.75,-31.866,21.783
COL-0,3,ad-2,adaxial,16,384.75,379,-32.152,20.67
COL-0,3,ad-2,adaxial,12,225.25,365.5,75.324,21.708
COL-0,3,ad-2,adaxial,11,168.25,336.75,-68.962,20.893
COL-0,3,ad-2,adaxial,10,87,324.75,44.145,23.691
COL-0,3,ad-2,adaxial,17,423.5,296,-76.608,21.587
COL-0,3,ad-2,adaxial,18,318,275.5,-19.799,26.571
