"treatment","leaf_number","image_number","x","y","area","reject","surface","stomata_number","angle","length","light","density"
"COL-0",2,"ad-4",318,329.5,9093.08395006631,FALSE,"adaxial",15,-59.036,23.324,"Medium Light",23
"COL-0",2,"ad-4",328.25,21,NA,FALSE,"adaxial",7,-52.651,23.901,"Medium Light",23
"COL-0",2,"ad-4",332.75,215,6804.71616103479,FALSE,"adaxial",10,-55.222,21.915,"Medium Light",23
"COL-0",2,"ad-4",334.75,157.75,12429.1559131665,FALSE,"adaxial",8,14.421,18.069,"Medium Light",23
"COL-0",2,"ad-4",342,292.75,7684.67286062981,FALSE,"adaxial",14,-28.706,23.943,"Medium Light",23
"COL-0",2,"ad-4",361.5,444.25,NA,TRUE,"adaxial",17,9.039,22.277,"Medium Light",23
"COL-0",2,"ad-4",451.25,276.25,NA,TRUE,"adaxial",16,-73.887,23.42,"Medium Light",23
"COL-0",2,"ad-4",461.5,195.25,9638.58974045725,FALSE,"adaxial",11,-30.256,20.839,"Medium Light",23
"COL-0",2,"ad-4",495.75,51.75,NA,FALSE,"adaxial",12,-86.348,23.548,"Medium Light",23
"COL-0",2,"ad-4",511.25,177.25,NA,TRUE,"adaxial",13,45,NA,"Medium Light",23
"COL-0",2,"ad-4",70,352.25,NA,TRUE,"adaxial",22,18.778,26.405,"Medium Light",23
"COL-0",2,"ad-4",86.5,505.25,NA,TRUE,"adaxial",20,4.086,21.054,"Medium Light",23
"COL-0",2,"ad-4",97.25,43,NA,FALSE,"adaxial",2,-35.096,22.611,"Medium Light",23
"COL-0",3,"ab-1",110.25,322.5,NA,TRUE,"abaxial",10,76.675,19.526,"Medium Light",28
"COL-0",3,"ab-1",119.75,155.25,7840.60096026099,FALSE,"abaxial",4,-5.826,24.627,"Medium Light",28
"COL-0",3,"ab-1",119.75,397.25,9115.27867704009,FALSE,"abaxial",11,-56.689,20.94,"Medium Light",28
"COL-0",3,"ab-1",153.75,229.75,4525.70310948216,FALSE,"abaxial",7,27.255,18.561,"Medium Light",28
"COL-0",3,"ab-1",183.25,211.5,9652.53745306059,FALSE,"abaxial",6,23.703,22.389,"Medium Light",28
"COL-0",3,"ab-1",19.5,444.25,NA,TRUE,"abaxial",15,13.325,19.526,"Medium Light",28
"COL-0",3,"ab-1",200.5,450.25,NA,TRUE,"abaxial",13,8.297,24.254,"Medium Light",28
"COL-0",3,"ab-1",201.25,281,8861.71546679403,FALSE,"abaxial",9,26.003,22.809,"Medium Light",28
"COL-0",3,"ab-1",205,351,10021.0534483968,FALSE,"abaxial",12,-10.784,21.378,"Medium Light",28
"COL-0",3,"ab-1",21.25,178.5,NA,TRUE,"abaxial",3,-32.381,24.274,"Medium Light",28
"COL-0",3,"ab-1",227.75,57.75,NA,TRUE,"abaxial",5,-39.289,21.319,"Medium Light",28
"COL-0",3,"ab-1",271.75,36.75,NA,TRUE,"abaxial",26,-42.955,19.812,"Medium Light",28
"COL-0",3,"ab-1",272.75,463,NA,TRUE,"abaxial",16,-5.856,19.602,"Medium Light",28
"COL-0",3,"ab-1",299.25,447.75,NA,TRUE,"abaxial",17,-65.323,20.359,"Medium Light",28
"COL-0",3,"ab-1",347.75,160,10173.4301102935,FALSE,"abaxial",24,-21.801,24.233,"Medium Light",28
"COL-0",3,"ab-1",354.75,298.75,8441.27404749577,FALSE,"abaxial",21,-33.311,20.94,"Medium Light",28
"COL-0",3,"ab-1",357,256.75,6762.46619299693,FALSE,"abaxial",22,-15.154,24.865,"Medium Light",28
"COL-0",3,"ab-1",383.5,138.75,NA,TRUE,"abaxial",25,57.031,22.051,"Medium Light",28
"COL-0",3,"ab-1",388.5,299.25,NA,TRUE,"abaxial",20,66.297,22.389,"Medium Light",28
"COL-0",3,"ab-1",390,204.25,NA,TRUE,"abaxial",23,20.925,18.2,"Medium Light",28
"COL-0",3,"ab-1",398.75,16.75,NA,TRUE,"abaxial",27,79.287,18.828,"Medium Light",28
"COL-0",3,"ab-1",433,375.25,NA,TRUE,"abaxial",19,-19.093,13.757,"Medium Light",28
"COL-0",3,"ab-1",437.25,5.25,NA,TRUE,"abaxial",28,11.31,22.946,"Medium Light",28
"COL-0",3,"ab-1",448.5,394.5,NA,TRUE,"abaxial",18,7.431,23.195,"Medium Light",28
"COL-0",3,"ab-1",45.75,469.5,NA,TRUE,"abaxial",14,-31.608,22.897,"Medium Light",28
"COL-0",3,"ab-1",66,130.25,NA,TRUE,"abaxial",2,-32.005,23.585,"Medium Light",28
"COL-0",3,"ab-1",75.75,251,NA,TRUE,"abaxial",8,-30.343,23.754,"Medium Light",28
"COL-0",3,"ab-1",85,88.25,NA,TRUE,"abaxial",1,50.013,20.23,"Medium Light",28
"COL-0",3,"ab-2",123,387.75,8336.96811142835,FALSE,"abaxial",10,-32.735,24.965,"Medium Light",30
"COL-0",3,"ab-2",156,299.75,9784.38964619239,FALSE,"abaxial",8,-84.144,19.602,"Medium Light",30
"COL-0",3,"ab-2",168.25,1.25,NA,TRUE,"abaxial",2,6.072,23.633,"Medium Light",30
"COL-0",3,"ab-2",187.25,417.75,11754.6214331652,FALSE,"abaxial",11,-13.736,23.162,"Medium Light",30
"COL-0",3,"ab-2",189.5,65.25,8461.37048869599,FALSE,"abaxial",3,14.676,21.708,"Medium Light",30
"COL-0",3,"ab-2",203.5,151.5,10374.6334350661,FALSE,"abaxial",4,-27.897,19.235,"Medium Light",30
"COL-0",3,"ab-2",227.25,506.75,NA,TRUE,"abaxial",13,13.671,19.039,"Medium Light",30
"COL-0",3,"ab-2",230.5,239.5,7994.31651280023,FALSE,"abaxial",7,-31.759,24.698,"Medium Light",30
"COL-0",3,"ab-2",268,24.75,NA,TRUE,"abaxial",29,-34.778,21.915,"Medium Light",30
"COL-0",3,"ab-2",275.75,189.75,3924.36341179514,FALSE,"abaxial",24,-31.373,24.01,"Medium Light",30
"COL-0",3,"ab-2",283.5,0.25,NA,TRUE,"abaxial",30,26.565,NA,"Medium Light",30
"COL-0",3,"ab-2",286,312.75,8844.43443361704,FALSE,"abaxial",19,-34.019,24.13,"Medium Light",30
"COL-0",3,"ab-2",294.25,149,9756.62887590874,FALSE,"abaxial",25,51.546,21.708,"Medium Light",30
"COL-0",3,"ab-2",319.5,384.25,8322.7358621704,FALSE,"abaxial",18,81.674,20.718,"Medium Light",30
"COL-0",3,"ab-2",329,216,7928.68022807597,FALSE,"abaxial",23,-7.125,24.187,"Medium Light",30
"COL-0",3,"ab-2",329.25,458.75,NA,TRUE,"abaxial",16,-56.689,20.94,"Medium Light",30
"COL-0",3,"ab-2",363,291.25,4517.50738739151,FALSE,"abaxial",20,34.992,18.31,"Medium Light",30
"COL-0",3,"ab-2",392.5,273.5,NA,TRUE,"abaxial",21,27.759,21.471,"Medium Light",30
"COL-0",3,"ab-2",410.75,509.5,NA,TRUE,"abaxial",15,7.595,22.699,"Medium Light",30
"COL-0",3,"ab-2",411,342,NA,TRUE,"abaxial",22,27.646,23.707,"Medium Light",30
"COL-0",3,"ab-2",414.75,412.25,NA,TRUE,"abaxial",17,-12.381,20.988,"Medium Light",30
"COL-0",3,"ab-2",43.5,323.75,NA,TRUE,"abaxial",9,71.966,22.611,"Medium Light",30
"COL-0",3,"ab-2",437.5,119.5,NA,TRUE,"abaxial",26,-46.975,20.518,"Medium Light",30
"COL-0",3,"ab-2",44.75,442.25,NA,FALSE,"abaxial",12,23.552,21.272,"Medium Light",30
"COL-0",3,"ab-2",480.75,98.75,NA,TRUE,"abaxial",27,-46.909,21.225,"Medium Light",30
"COL-0",3,"ab-2",487.5,56.5,NA,TRUE,"abaxial",28,43.025,20.518,"Medium Light",30
"COL-0",3,"ab-2",506.75,505,NA,TRUE,"abaxial",14,-63.435,NA,"Medium Light",30
